timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754044682621,525,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG 1-1,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,525,0,371
1754044682619,525,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG 1-1,,true,,9501,511,3,3,null,525,3,371
1754044682818,457,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG 1-2,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,457,0,303
1754044682817,457,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG 1-2,,true,,9501,511,3,3,null,457,2,303
1754044683017,455,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG 1-3,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,455,0,301
1754044683017,455,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG 1-3,,true,,9501,511,3,3,null,455,0,301
1754044683218,460,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG 1-4,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,460,0,306
1754044683218,460,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG 1-4,,true,,9501,511,3,3,null,460,0,306
1754044683418,455,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG 1-5,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,455,0,301
1754044683417,455,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG 1-5,,true,,9501,511,3,3,null,455,2,301
1754044683619,455,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG 1-6,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,455,0,302
1754044683618,455,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG 1-6,,true,,9501,511,3,3,null,455,1,302
1754044683815,455,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG 1-7,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,455,0,301
