timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754045211023,533,https://map.sit.sdlc-quattrus.com/editor,200,OK,Teste Estresse 1-1,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,533,0,380
1754045211021,533,STG,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste Estresse 1-1,,true,,9501,511,3,3,null,533,2,380
1754045211220,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,Teste Estresse 1-2,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,464,0,308
1754045211220,464,STG,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste Estresse 1-2,,true,,9501,511,3,3,null,464,1,308
1754045211421,478,https://map.sit.sdlc-quattrus.com/editor,200,OK,Teste Estresse 1-3,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,478,0,322
1754045211420,478,STG,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste Estresse 1-3,,true,,9501,511,3,3,null,478,2,322
1754045211621,468,https://map.sit.sdlc-quattrus.com/editor,200,OK,Teste Estresse 1-4,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,468,0,317
1754045211621,468,STG,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste Estresse 1-4,,true,,9501,511,3,3,null,468,0,317
1754045211821,452,https://map.sit.sdlc-quattrus.com/editor,200,OK,Teste Estresse 1-5,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,452,0,301
1754045211820,452,STG,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste Estresse 1-5,,true,,9501,511,3,3,null,452,1,301
1754045212021,452,https://map.sit.sdlc-quattrus.com/editor,200,OK,Teste Estresse 1-6,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,452,0,301
1754045212020,452,STG,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste Estresse 1-6,,true,,9501,511,3,3,null,452,2,301
1754045212221,454,https://map.sit.sdlc-quattrus.com/editor,200,OK,Teste Estresse 1-7,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,454,0,302
1754045212220,454,STG,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste Estresse 1-7,,true,,9501,511,3,3,null,454,1,302
