timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753987948465,688,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-3,text,true,,9501,511,6,6,https://map.sit.sdlc-quattrus.com/editor,678,0,509
1753987948665,488,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-4,text,true,,9501,511,6,6,https://map.sit.sdlc-quattrus.com/editor,478,0,314
1753987948182,971,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-1,text,true,,9501,511,6,6,https://map.sit.sdlc-quattrus.com/editor,961,0,792
1753987948266,887,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-2,text,true,,9501,511,6,6,https://map.sit.sdlc-quattrus.com/editor,877,0,708
1753987948664,488,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-4,,true,,9501,511,6,6,null,478,9,314
1753987948069,971,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-1,,true,,9501,511,6,6,null,961,121,792
1753987948464,688,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-3,,true,,9501,511,6,6,null,678,9,509
1753987948265,887,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-2,,true,,9501,511,6,6,null,877,9,708
1753987949162,169,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega Estresse 1-2,text,true,,8787,515,7,7,https://map.sit.sdlc-quattrus.com/newMap,169,0,0
1753987948866,471,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-5,text,true,,9501,511,7,7,https://map.sit.sdlc-quattrus.com/editor,471,0,313
1753987948865,471,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-5,,true,,9501,511,7,7,null,471,2,313
