timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753985747376,525,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega 1-1,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,525,0,370
1753985747374,525,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega 1-1,,true,,9501,511,3,3,null,525,3,370
1753985747576,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega 1-2,text,true,,9501,511,4,4,https://map.sit.sdlc-quattrus.com/editor,462,0,300
1753985747576,462,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega 1-2,,true,,9501,511,4,4,null,462,0,300
1753985747902,163,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-1,text,true,,8787,515,4,4,https://map.sit.sdlc-quattrus.com/newMap,163,0,0
1753985748038,163,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-2,text,true,,8787,515,5,5,https://map.sit.sdlc-quattrus.com/newMap,163,0,0
1753985748065,159,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-1,text,true,,8787,595,5,5,https://map.sit.sdlc-quattrus.com/newMap,159,0,0
1753985747902,322,Criando mapa,200,"Number of samples in transaction : 2, number of failing samples : 0",Stratega 1-1,,true,,17574,1110,5,5,null,322,0,0
1753985747774,454,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega 1-3,text,true,,9501,511,5,5,https://map.sit.sdlc-quattrus.com/editor,454,0,301
1753985747774,454,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega 1-3,,true,,9501,511,5,5,null,454,0,301
1753985748202,158,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-2,text,true,,8787,595,5,5,https://map.sit.sdlc-quattrus.com/newMap,158,0,0
1753985748038,321,Criando mapa,200,"Number of samples in transaction : 2, number of failing samples : 0",Stratega 1-2,,true,,17574,1110,5,5,null,321,1,0
1753985748228,163,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-3,text,true,,8787,515,6,6,https://map.sit.sdlc-quattrus.com/newMap,163,0,0
1753985747975,454,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega 1-4,text,true,,9501,511,6,6,https://map.sit.sdlc-quattrus.com/editor,454,0,301
1753985747974,454,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega 1-4,,true,,9501,511,6,6,null,454,2,301
1753985748225,301,https://api-map.sit.sdlc-quattrus.com/api/v1/Page/798 ,304,Not Modified,Stratega 1-1,,true,,456,1048,6,6,https://map.sit.sdlc-quattrus.com/editor,150,0,0
1753985748225,150,https://api-map.sit.sdlc-quattrus.com/api/v1/Page/798 -0,308,Permanent Redirect,Stratega 1-1,,true,,184,505,6,6,https://map.sit.sdlc-quattrus.com/,150,0,0
1753985748375,151,https://api-map.sit.sdlc-quattrus.com/api/v1/Page/798 -1,304,Not Modified,Stratega 1-1,,true,,272,543,6,6,https://map.sit.sdlc-quattrus.com/editor,0,0,0
1753985748392,161,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-3,text,true,,8787,595,6,6,https://map.sit.sdlc-quattrus.com/newMap,161,0,0
1753985748228,324,Criando mapa,200,"Number of samples in transaction : 2, number of failing samples : 0",Stratega 1-3,,true,,17574,1110,6,6,null,324,2,0
1753985748430,160,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-4,text,true,,8787,515,7,7,https://map.sit.sdlc-quattrus.com/newMap,160,0,0
1753985748177,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega 1-5,text,true,,9501,511,7,7,https://map.sit.sdlc-quattrus.com/editor,459,0,308
1753985748177,459,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega 1-5,,true,,9501,511,7,7,null,459,1,308
1753985748360,302,https://api-map.sit.sdlc-quattrus.com/api/v1/Page/798 ,304,Not Modified,Stratega 1-2,,true,,456,1048,7,7,https://map.sit.sdlc-quattrus.com/editor,151,0,0
1753985748360,151,https://api-map.sit.sdlc-quattrus.com/api/v1/Page/798 -0,308,Permanent Redirect,Stratega 1-2,,true,,184,505,7,7,https://map.sit.sdlc-quattrus.com/,151,0,0
1753985748511,151,https://api-map.sit.sdlc-quattrus.com/api/v1/Page/798 -1,304,Not Modified,Stratega 1-2,,true,,272,543,7,7,https://map.sit.sdlc-quattrus.com/editor,0,0,0
1753985748590,161,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-4,text,true,,8787,595,7,7,https://map.sit.sdlc-quattrus.com/newMap,161,0,0
1753985748430,321,Criando mapa,200,"Number of samples in transaction : 2, number of failing samples : 0",Stratega 1-4,,true,,17574,1110,7,7,null,321,0,0
1753985748637,160,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-5,text,true,,8787,515,8,8,https://map.sit.sdlc-quattrus.com/newMap,160,0,0
1753985748526,309,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/798 ,304,Not Modified,Stratega 1-1,,true,,456,1048,8,8,https://map.sit.sdlc-quattrus.com/editor,158,0,0
