timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753985147029,562,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega 1-1,text,true,,9501,511,3,3,https://map.sit.sdlc-quattrus.com/editor,562,0,410
1753985147028,562,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega 1-1,,true,,9501,511,3,3,null,562,2,410
1753985147232,455,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega 1-2,text,true,,9501,511,4,4,https://map.sit.sdlc-quattrus.com/editor,455,0,303
1753985147231,455,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega 1-2,,true,,9501,511,4,4,null,455,1,303
1753985147592,160,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-1,text,true,,8787,515,4,4,https://map.sit.sdlc-quattrus.com/newMap,160,0,0
1753985147687,162,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-2,text,true,,8787,515,5,5,https://map.sit.sdlc-quattrus.com/newMap,162,0,0
1753985147427,454,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega 1-3,text,true,,9501,511,5,5,https://map.sit.sdlc-quattrus.com/editor,454,0,302
1753985147427,454,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega 1-3,,true,,9501,511,5,5,null,454,0,302
1753985147752,158,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-1,text,true,,8787,595,5,5,https://map.sit.sdlc-quattrus.com/newMap,158,0,0
1753985147592,318,Criando mapa,200,"Number of samples in transaction : 2, number of failing samples : 0",Stratega 1-1,,true,,17574,1110,5,5,null,318,1,0
1753985147850,161,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-2,text,true,,8787,595,5,5,https://map.sit.sdlc-quattrus.com/newMap,161,0,0
1753985147687,323,Criando mapa,200,"Number of samples in transaction : 2, number of failing samples : 0",Stratega 1-2,,true,,17574,1110,5,5,null,323,1,0
1753985147881,163,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-3,text,true,,8787,515,6,6,https://map.sit.sdlc-quattrus.com/newMap,163,0,0
1753985147629,452,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega 1-4,text,true,,9501,511,6,6,https://map.sit.sdlc-quattrus.com/editor,452,0,301
1753985147628,452,Abrindo mapa,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega 1-4,,true,,9501,511,6,6,null,452,2,301
1753985148044,160,https://api-map.sit.sdlc-quattrus.com/api/v1/Map/newMap ,200,OK,Stratega 1-3,text,true,,8794,595,6,6,https://map.sit.sdlc-quattrus.com/newMap,160,0,0
1753985147881,323,Criando mapa,200,"Number of samples in transaction : 2, number of failing samples : 0",Stratega 1-3,,true,,17581,1110,6,6,null,323,1,0
1753985147911,301,https://api-map.sit.sdlc-quattrus.com/api/v1/Page/798 ,304,Not Modified,Stratega 1-1,,true,,456,1048,6,6,https://map.sit.sdlc-quattrus.com/editor,150,0,0
