timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1756477898947,492,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-1,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,492,0,336
1756477898944,492,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-1,,true,,9501,512,5,5,null,492,4,336
1756477899045,466,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-2,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,466,0,309
1756477899044,466,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-2,,true,,9501,512,5,5,null,466,2,309
1756477899145,460,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-3,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,460,0,305
1756477899144,460,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-3,,true,,9501,512,5,5,null,460,2,305
1756477899244,463,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-4,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,463,0,308
1756477899244,463,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-4,,true,,9501,512,5,5,null,463,1,308
1756477899343,467,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-5,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,467,0,309
1756477899342,467,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-5,,true,,9501,512,5,5,null,467,1,309
1756477899445,467,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-6,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,466,0,310
1756477899444,467,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-6,,true,,9501,512,5,5,null,466,1,310
1756477899543,457,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-7,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,457,0,303
1756477899543,457,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-7,,true,,9501,512,5,5,null,457,1,303
1756477899644,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-8,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1756477899643,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-8,,true,,9501,512,5,5,null,459,1,305
1756477899744,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-9,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,307
1756477899743,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-9,,true,,9501,512,5,5,null,461,2,307
1756477899843,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-10,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,462,0,308
1756477899842,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-10,,true,,9501,512,5,5,null,462,2,308
1756477899944,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-11,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,462,0,307
1756477899943,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-11,,true,,9501,512,5,5,null,462,2,307
1756477900043,474,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-12,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,473,0,313
1756477900042,474,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-12,,true,,9501,512,5,5,null,473,1,313
1756477900144,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-13,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,464,0,308
1756477900143,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-13,,true,,9501,512,5,5,null,464,1,308
1756477900244,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-14,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,305
1756477900243,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-14,,true,,9501,512,5,5,null,461,2,305
1756477900343,471,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-15,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,470,0,312
1756477900342,471,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-15,,true,,9501,512,5,5,null,470,1,312
1756477900443,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-16,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,307
1756477900442,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-16,,true,,9501,512,5,5,null,461,1,307
1756477900542,472,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-17,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,472,0,307
1756477900542,472,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-17,,true,,9501,512,5,5,null,472,1,307
1756477900644,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-18,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,464,0,308
1756477900643,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-18,,true,,9501,512,5,5,null,464,1,308
1756477900747,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-19,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,464,0,307
1756477900746,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-19,,true,,9501,512,5,5,null,464,1,307
1756477900844,482,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-20,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,482,0,325
1756477900843,482,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-20,,true,,9501,512,5,5,null,482,2,325
1756477900946,465,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-21,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,465,0,310
1756477900945,465,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-21,,true,,9501,512,5,5,null,465,1,310
1756477901046,508,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-22,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,508,0,326
1756477901045,508,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-22,,true,,9501,512,6,6,null,508,2,326
1756477901142,488,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-23,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,488,0,307
1756477901142,488,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-23,,true,,9501,512,5,5,null,488,0,307
1756477901244,486,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-24,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,486,0,311
1756477901242,486,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-24,,true,,9501,512,5,5,null,486,2,311
1756477901347,514,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-25,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,514,0,350
1756477901346,514,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-25,,true,,9501,512,6,6,null,514,2,350
1756477901446,517,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-26,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,517,0,355
1756477901445,517,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-26,,true,,9501,512,6,6,null,517,1,355
1756477901545,518,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-27,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,518,0,338
1756477901544,518,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-27,,true,,9501,512,6,6,null,518,1,338
1756477901646,483,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-28,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,483,0,319
1756477901646,483,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-28,,true,,9501,512,5,5,null,483,0,319
1756477901746,471,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-29,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,471,0,317
1756477901745,471,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-29,,true,,9501,512,5,5,null,471,1,317
1756477901845,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-30,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1756477901844,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-30,,true,,9501,512,5,5,null,459,2,305
1756477901947,460,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-31,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,460,0,307
1756477901945,460,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-31,,true,,9501,512,5,5,null,460,2,307
1756477902046,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-32,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,464,0,308
1756477902045,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-32,,true,,9501,512,5,5,null,464,2,308
1756477902146,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-33,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,307
1756477902145,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-33,,true,,9501,512,5,5,null,461,2,307
1756477902244,470,https://map.sit.sdlc-quattrus.com/editor,200,OK,Stratega Estresse 1-34,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,470,0,311
1756477902243,470,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Stratega Estresse 1-34,,true,,9501,512,5,5,null,470,1,311
