timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759169088741,479,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-4,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,476,0,321
1759169088228,992,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-1,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,984,0,814
1759169088542,678,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-3,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,670,0,500
1759169088343,877,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-2,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,869,0,699
1759169088541,678,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-3,,true,,9501,512,6,6,null,670,12,500
1759169088342,877,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-2,,true,,9501,512,6,6,null,869,12,699
1759169088145,992,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-1,,true,,9501,512,6,6,null,984,92,814
1759169088740,479,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-4,,true,,9501,512,6,6,null,476,12,321
1759169088942,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-5,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,464,0,310
1759169088941,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-5,,true,,9501,512,3,3,null,464,2,310
1759169089140,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-6,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,462,0,308
1759169089139,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-6,,true,,9501,512,3,3,null,462,2,308
1759169089340,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-7,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,462,0,308
1759169089339,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-7,,true,,9501,512,3,3,null,462,2,308
1759169089541,468,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-8,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,468,0,307
1759169089539,468,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-8,,true,,9501,512,3,3,null,468,3,307
1759169089740,468,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-9,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,468,0,312
1759169089738,468,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-9,,true,,9501,512,3,3,null,468,3,312
1759169089939,470,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-10,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,470,0,314
1759169089938,470,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-10,,true,,9501,512,3,3,null,470,2,314
1759169090140,465,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-11,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,465,0,310
1759169090138,465,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-11,,true,,9501,512,3,3,null,465,3,310
1759169090339,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-12,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,461,0,306
1759169090338,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-12,,true,,9501,512,3,3,null,461,2,306
1759169090539,476,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-13,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,476,0,320
1759169090538,476,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-13,,true,,9501,512,3,3,null,476,2,320
1759169090740,463,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-14,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,463,0,307
1759169090739,463,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-14,,true,,9501,512,3,3,null,463,2,307
1759169090939,481,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-15,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,481,0,311
1759169090937,481,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-15,,true,,9501,512,3,3,null,481,3,311
1759169091137,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-16,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,461,0,306
1759169091136,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-16,,true,,9501,512,3,3,null,461,2,306
1759169091340,465,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-17,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,465,0,309
1759169091339,465,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-17,,true,,9501,512,3,3,null,465,2,309
1759169091540,466,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-18,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,466,0,311
1759169091538,466,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-18,,true,,9501,512,3,3,null,466,2,311
1759169091739,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-19,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,462,0,308
1759169091738,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-19,,true,,9501,512,3,3,null,462,2,308
1759169091939,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-20,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169091938,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-20,,true,,9501,512,3,3,null,459,1,305
1759169092138,468,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-21,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,468,0,310
1759169092137,468,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-21,,true,,9501,512,3,3,null,468,2,310
1759169092339,466,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-22,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,466,0,311
1759169092338,466,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-22,,true,,9501,512,3,3,null,466,2,311
1759169092539,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-23,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,461,0,306
1759169092538,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-23,,true,,9501,512,3,3,null,461,2,306
1759169092738,467,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-24,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,467,0,312
1759169092737,467,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-24,,true,,9501,512,3,3,null,467,1,312
1759169092939,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-25,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,461,0,307
1759169092937,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-25,,true,,9501,512,3,3,null,461,3,307
1759169093139,463,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-26,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,463,0,306
1759169093138,463,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-26,,true,,9501,512,3,3,null,463,2,306
1759169093337,467,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-27,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,467,0,311
1759169093336,467,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-27,,true,,9501,512,3,3,null,467,2,311
1759169093539,466,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-28,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,466,0,310
1759169093537,466,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-28,,true,,9501,512,3,3,null,466,3,310
1759169093739,469,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-29,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,469,0,312
1759169093737,469,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-29,,true,,9501,512,3,3,null,469,4,312
1759169093938,468,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-30,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,468,0,308
1759169093937,468,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-30,,true,,9501,512,3,3,null,468,2,308
1759169094138,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-31,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,462,0,308
1759169094137,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-31,,true,,9501,512,3,3,null,462,2,308
1759169094339,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-32,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,464,0,307
1759169094338,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-32,,true,,9501,512,3,3,null,464,1,307
1759169094538,466,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-33,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,466,0,310
1759169094537,466,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-33,,true,,9501,512,3,3,null,466,2,310
1759169094738,466,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-34,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,466,0,310
1759169094737,466,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-34,,true,,9501,512,3,3,null,466,2,310
1759169094938,466,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-35,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,466,0,311
1759169094937,466,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-35,,true,,9501,512,3,3,null,466,2,311
1759169095138,469,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-36,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,469,0,309
1759169095137,469,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-36,,true,,9501,512,3,3,null,469,1,309
1759169095340,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-37,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,461,0,307
1759169095339,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-37,,true,,9501,512,3,3,null,461,2,307
1759169095537,463,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-38,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,463,0,307
1759169095536,463,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-38,,true,,9501,512,3,3,null,463,2,307
1759169095737,463,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-39,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,463,0,309
1759169095736,463,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-39,,true,,9501,512,3,3,null,463,2,309
1759169095938,463,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-40,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,463,0,307
1759169095937,463,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-40,,true,,9501,512,3,3,null,463,2,307
1759169096140,460,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-41,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,460,0,306
1759169096139,460,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-41,,true,,9501,512,3,3,null,460,2,306
1759169096338,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-42,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,464,0,308
1759169096336,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-42,,true,,9501,512,3,3,null,464,3,308
1759169096538,467,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-43,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,467,0,313
1759169096536,467,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-43,,true,,9501,512,3,3,null,467,3,313
1759169096738,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-44,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,464,0,310
1759169096737,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-44,,true,,9501,512,3,3,null,464,2,310
1759169096942,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-45,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,464,0,308
1759169096938,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-45,,true,,9501,512,3,3,null,464,5,308
1759169097137,469,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-46,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,469,0,310
1759169097136,469,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-46,,true,,9501,512,3,3,null,469,2,310
1759169097340,463,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-47,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,463,0,309
1759169097338,463,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-47,,true,,9501,512,3,3,null,463,3,309
1759169097538,463,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-48,text,true,,9501,512,3,3,https://map.sit.sdlc-quattrus.com/editor,463,0,309
1759169097537,463,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-48,,true,,9501,512,3,3,null,463,1,309
1759169097737,470,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-49,text,true,,9501,512,2,2,https://map.sit.sdlc-quattrus.com/editor,470,0,311
1759169097736,470,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG CARGA 1-49,,true,,9501,512,2,2,null,470,2,311
1759169097938,469,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG CARGA 1-50,text,true,,9501,512,1,1,https://map.sit.sdlc-quattrus.com/editor,469,0,309
