timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759169887576,572,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-1,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,572,0,417
1759169887678,470,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-2,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,470,0,314
1759169887677,470,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-2,,true,,9501,512,6,6,null,470,2,314
1759169887575,572,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-1,,true,,9501,512,6,6,null,572,2,417
1759169887776,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-3,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,462,0,307
1759169887775,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-3,,true,,9501,512,5,5,null,462,1,307
1759169887879,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-4,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169887878,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-4,,true,,9501,512,5,5,null,459,2,305
1759169887977,469,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-5,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,469,0,304
1759169887976,469,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-5,,true,,9501,512,5,5,null,469,2,304
1759169888077,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-6,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169888077,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-6,,true,,9501,512,5,5,null,459,1,305
1759169888185,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-7,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,462,0,308
1759169888184,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-7,,true,,9501,512,5,5,null,462,1,308
1759169888285,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-8,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,460,0,307
1759169888285,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-8,,true,,9501,512,5,5,null,460,0,307
1759169888378,457,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-9,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,457,0,304
1759169888377,457,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-9,,true,,9501,512,5,5,null,457,2,304
1759169888477,471,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-10,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,471,0,317
1759169888476,471,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-10,,true,,9501,512,5,5,null,471,2,317
1759169888581,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-11,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169888581,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-11,,true,,9501,512,5,5,null,459,1,305
1759169888684,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-12,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,464,0,307
1759169888683,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-12,,true,,9501,512,5,5,null,464,1,307
1759169888774,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-13,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,462,0,306
1759169888773,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-13,,true,,9501,512,5,5,null,462,2,306
1759169888877,467,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-14,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,467,0,312
1759169888876,467,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-14,,true,,9501,512,5,5,null,467,1,312
1759169888983,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-15,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,462,0,308
1759169888982,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-15,,true,,9501,512,5,5,null,462,2,308
1759169889082,460,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-16,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,460,0,306
1759169889081,460,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-16,,true,,9501,512,5,5,null,460,2,306
1759169889174,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-17,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169889173,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-17,,true,,9501,512,5,5,null,459,1,305
1759169889275,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-18,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169889274,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-18,,true,,9501,512,5,5,null,459,1,305
1759169889380,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-19,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,304
1759169889380,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-19,,true,,9501,512,5,5,null,461,1,304
1759169889482,456,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-20,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,456,0,303
1759169889481,456,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-20,,true,,9501,512,5,5,null,456,1,303
1759169889574,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-21,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169889573,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-21,,true,,9501,512,5,5,null,459,2,305
1759169889676,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-22,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,306
1759169889675,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-22,,true,,9501,512,5,5,null,461,2,306
1759169889780,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-23,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,464,0,308
1759169889779,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-23,,true,,9501,512,5,5,null,464,2,308
1759169889880,456,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-24,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,456,0,302
1759169889879,456,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-24,,true,,9501,512,5,5,null,456,2,302
1759169889975,464,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-25,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,464,0,309
1759169889974,464,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-25,,true,,9501,512,5,5,null,464,2,309
1759169890080,457,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-26,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,457,0,304
1759169890079,457,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-26,,true,,9501,512,5,5,null,457,2,304
1759169890179,460,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-27,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,460,0,305
1759169890179,460,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-27,,true,,9501,512,5,5,null,460,1,305
1759169890278,468,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-28,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,468,0,314
1759169890277,468,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-28,,true,,9501,512,5,5,null,468,2,314
1759169890373,471,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-29,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,471,0,316
1759169890373,471,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-29,,true,,9501,512,5,5,null,471,1,316
1759169890475,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-30,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169890474,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-30,,true,,9501,512,5,5,null,459,1,305
1759169890577,465,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-31,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,465,0,306
1759169890577,465,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-31,,true,,9501,512,5,5,null,465,0,306
1759169890709,471,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-32,text,true,,9501,512,6,6,https://map.sit.sdlc-quattrus.com/editor,471,0,316
1759169890708,471,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-32,,true,,9501,512,6,6,null,471,1,316
1759169890777,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-33,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,306
1759169890775,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-33,,true,,9501,512,5,5,null,461,2,306
1759169890878,471,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-34,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,471,0,317
1759169890876,471,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-34,,true,,9501,512,5,5,null,471,3,317
1759169890985,476,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-35,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,476,0,320
1759169890978,476,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-35,,true,,9501,512,5,5,null,476,7,320
1759169891080,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-36,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,462,0,305
1759169891079,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-36,,true,,9501,512,5,5,null,462,1,305
1759169891177,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-37,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,462,0,308
1759169891175,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-37,,true,,9501,512,5,5,null,462,2,308
1759169891276,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-38,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,306
1759169891274,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-38,,true,,9501,512,5,5,null,461,2,306
1759169891377,460,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-39,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,460,0,307
1759169891376,460,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-39,,true,,9501,512,5,5,null,460,2,307
1759169891475,458,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-40,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,458,0,304
1759169891475,458,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-40,,true,,9501,512,5,5,null,458,1,304
1759169891579,457,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-41,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,457,0,303
1759169891578,457,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-41,,true,,9501,512,5,5,null,457,1,303
1759169891676,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-42,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,307
1759169891675,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-42,,true,,9501,512,5,5,null,461,1,307
1759169891775,458,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-43,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,458,0,304
1759169891775,458,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-43,,true,,9501,512,5,5,null,458,0,304
1759169891879,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-44,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169891879,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-44,,true,,9501,512,5,5,null,459,0,305
1759169891974,458,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-45,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,458,0,304
1759169891973,458,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-45,,true,,9501,512,5,5,null,458,2,304
1759169892074,466,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-46,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,466,0,313
1759169892073,466,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-46,,true,,9501,512,5,5,null,466,1,313
1759169892179,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-47,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,307
1759169892178,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-47,,true,,9501,512,5,5,null,461,1,307
1759169892279,456,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-48,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,456,0,303
1759169892278,456,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-48,,true,,9501,512,5,5,null,456,1,303
1759169892380,458,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-49,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,458,0,305
1759169892378,458,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-49,,true,,9501,512,5,5,null,458,3,305
1759169892474,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-50,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169892473,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-50,,true,,9501,512,5,5,null,459,1,305
1759169892578,458,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-51,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,458,0,305
1759169892578,458,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-51,,true,,9501,512,5,5,null,458,0,305
1759169892679,460,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-52,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,460,0,306
1759169892676,460,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-52,,true,,9501,512,5,5,null,460,4,306
1759169892776,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-53,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,305
1759169892775,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-53,,true,,9501,512,5,5,null,459,1,305
1759169892877,465,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-54,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,465,0,311
1759169892877,465,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-54,,true,,9501,512,5,5,null,465,0,311
1759169892978,462,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-55,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,462,0,306
1759169892977,462,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-55,,true,,9501,512,5,5,null,462,1,306
1759169893076,461,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-56,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,461,0,305
1759169893074,461,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-56,,true,,9501,512,5,5,null,461,2,305
1759169893175,458,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-57,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,458,0,305
1759169893175,458,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-57,,true,,9501,512,5,5,null,458,0,305
1759169893275,463,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-58,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,463,0,306
1759169893274,463,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-58,,true,,9501,512,5,5,null,463,2,306
1759169893373,463,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-59,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,463,0,309
1759169893373,463,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-59,,true,,9501,512,5,5,null,463,1,309
1759169893474,458,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-60,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,458,0,303
1759169893473,458,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-60,,true,,9501,512,5,5,null,458,1,303
1759169893573,457,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-61,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,457,0,303
1759169893573,457,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-61,,true,,9501,512,5,5,null,457,0,303
1759169893674,459,https://map.sit.sdlc-quattrus.com/editor,200,OK,STG ESTRESSE 1-62,text,true,,9501,512,5,5,https://map.sit.sdlc-quattrus.com/editor,459,0,306
1759169893674,459,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",STG ESTRESSE 1-62,,true,,9501,512,5,5,null,459,1,306
